PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Mean_Qualifier,IC50_Mean,IC50_Qualifier_1_Range1,IC50_1_Range1,Std.Err(IC50)_1_Range1,nH_1_Range1,Excluded_Points_first_point_Range1,% Activity at 66 uM_first_point_Range1,% Activity at 33 uM_first_point_Range1,% Activity at 16.5 uM_first_point_Range1,% Activity at 8.25 uM_first_point_Range1,% Activity at 4.125 uM_first_point_Range1,IC50_Qualifier_2_Range1,IC50_2_Range1,Std.Err(IC50)_2_Range1,nH_2_Range1,Excluded_Points_second_point_Range1,% Activity at 66 uM_second_point_Range1,% Activity at 33 uM_second_point_Range1,% Activity at 16.5 uM_second_point_Range1,% Activity at 8.25 uM_second_point_Range1,% Activity at 4.125 uM_second_point_Range1,IC50_Qualifier_1_Range2,IC50_1_Range2,Std.Err(IC50)_1_Range2,nH_1_Range2,Excluded_Points_first_point_Range2,% Activity at 66 uM_first_point_Range2,% Activity at 33 uM_first_point_Range2,% Activity at 16.5 uM_first_point_Range2,% Activity at 8.25 uM_first_point_Range2,% Activity at 4.125 uM_first_point_Range2,% Activity at 2.0625 uM_first_point_Range2,% Activity at 1.03125 uM_first_point_Range2,% Activity at 0.515625 uM_first_point_Range2,% Activity at 0.2578125 uM_first_point_Range2,% Activity at 0.1289062 uM_first_point_Range2
1055,857633,658981,CCOC(=O)C1=C(SC(=S)C2=C1CCC2)N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",21.8563,17.7481,12.1651,20.3816,12.2704,>,66,,,"0,0,0,0,0",20.4789,15.0149,24.8501,13.2664,7.58386,,,,,,,,,,,,,,,
1056,57261278,23697355,C1=CC(=CC=C1N=C2C=C(C(=O)C(=C2)Cl)Cl)[O-].[Na+],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",20.3816,21.0136,28.282,29.2301,18.9068,>,66,,,"0,0,0,0,0",16.8727,20.4789,25.3966,22.9924,25.8337,,,,,,,,,,,,,,,
1057,24802040,774142,C1=COC(=C1)C2=NC3=C(C=C(C=C3)C(=O)O)N=C2C4=CC=CO4,Inactive,41,,,=,53.15,>,66,,,"0,0,0,0,0",32.4956,32.6009,30.9155,22.4884,13.9559,>,66,,,"0,0,0,0,0",20.4789,24.1945,15.0149,13.2664,13.5943,>,66,,2.952,"0,0,0,0,0,0,0,0,0,0",26.3107,26.0878,24.0816,18.2858,7.58603,2.45903,5.24544,5.35691,6.47147,-3.89399
1058,89853666,2939678,C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=CC(=C3)[N+](=O)[O-],Inactive,41,,,=,35.5,=,44.023,,1,"0,0,0,0,0",60.4755,47.3619,27.145,6.8189,8.4581,=,49.485,,1,"0,0,0,0,0",59.6731,36.8145,25.9645,13.6398,8.37288,>,66,,,"0,0,0,0,0,0,0,0,0,0",29.6544,18.7317,16.614,-0.550293,0.118436,-0.996129,2.23612,-4.78564,-10.0241,-6.56895
1059,24789010,777996,C1=CC(=CC(=C1)F)C2=CSC(=N2)N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.95008,8.58356,9.00491,10.269,7.95152,>,66,,,"0,0,0,0,0",1.2456,2.33841,6.92818,6.60034,8.02099,,,,,,,,,,,,,,,
1060,858078,659433,C1CCCC(=C2C(=O)N(C(=S)S2)CCC(=O)O)CC1,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",14.1665,15.2199,17.5374,21.9616,15.6413,>,66,,,"0,0,0,0,0",13.5943,11.0808,14.5778,12.9386,10.4252,,,,,,,,,,,,,,,
1061,17510578,12005270,CC1=CC=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CNC(=S)NC5=CC(=CC=C5)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.73794,10.6904,7.21414,10.6904,14.0612,>,66,,,"0,0,0,0,0",7.80242,3.32193,3.21265,0.1528,7.14674,,,,,,,,,,,,,,,
1062,7975881,807705,CC1=C(SC(=S)N1C)NC(=O)OC2=CC=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",13.3238,11.1117,23.015,14.3772,17.6427,>,66,,,"0,0,0,0,0",3.86833,5.17969,14.9056,8.23954,9.33235,,,,,,,,,,,,,,,
1063,24793689,953082,C1CCN(CC1)CC2=CC=C(C=C2)NC(=S)NC(=O)C3=CC=CO3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",14.1665,14.1665,22.383,16.8,16.168,>,66,,,"0,0,0,0,0",2.66625,8.02099,5.94466,6.2725,10.753,,,,,,,,,,,,,,,
1064,17504283,6375861,CC1=NN=C(S1)SCC(=O)N/N=C(/C)\C2=CC=C(C=C2)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",19.5388,14.6932,15.2199,11.8491,16.0627,>,66,,,"0,0,0,0,0",6.2725,9.76947,7.03746,10.2066,4.52401,,,,,,,,,,,,,,,
1065,17432065,2959436,CCOC(=O)C1=C(SC2=C1CCCC2)NC(=O)C3(CC4=CC=CC=C4C(=O)O3)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",9.21559,11.7437,12.9025,17.6427,14.9039,>,66,,,"0,0,0,0,0",0.371366,7.3653,9.98803,7.58386,6.05394,,,,,,,,,,,,,,,
1066,24790282,744618,CCC(=O)/C=C/1\N(C2=C(S1)C=CC(=C2)OC)CCO,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",15.3253,15.6413,15.852,11.5331,17.6427,>,66,,,"0,0,0,0,0",9.0045,15.7799,13.9221,8.67667,7.3653,,,,,,,,,,,,,,,
1067,89850476,225181,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)COC3=CC=CC=C3,Inactive,41,,,=,29.71,=,16.867,,1,"0,0,0,0,0",110.552,95.4885,63.8867,41.0281,29.2301,=,7.949,,1,"0,0,0,0,0",95.4452,65.6117,47.3619,25.0687,18.4026,>,66,,,"0,0,0,0,0,0,0,0,0,0",148.356,101.432,64.6518,35.4502,25.7534,10.5954,-84.2541,8.47767,25.5305,-131.4
1068,4259854,2835542,CC1C2C(N(C(=O)N(C2N(C(=O)N1C)C)C)C)C,Inactive,41,,,=,29.13,=,16.243,,1,"0,0,0,0,0",115.187,96.2259,65.1508,43.1349,31.4422,=,7.317,,1,"0,0,0,0,0",94.6803,67.3602,44.9577,32.4998,15.6706,>,66,,,"0,0,0,0,0,0,0,0,0,0",133.532,103.439,66.1007,43.475,23.5243,28.9857,-119.14,2.12466,29.2086,-263.699
1069,17408015,694350,CC1=C(N=CC=C1)NC(=S)NC(=O)C2=CC=CS2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",15.9573,11.8491,13.8505,11.6384,14.1665,>,66,,,"0,0,0,0,0",12.72,11.7365,5.72609,14.1407,7.14674,,,,,,,,,,,,,,,
1070,49822004,4244251,CC1=NN(C(=C1Cl)C(=O)NC(=S)NC2=CC=C(C=C2)[N+](=O)[O-])C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.21414,14.5879,16.0627,9.74228,16.8,>,66,,,"0,0,0,0,0",16.5449,14.25,5.07041,7.9117,17.0912,,,,,,,,,,,,,,,
1071,49825651,1810579,CC1=CC=C(C=C1)NC(=O)CN2C(=O)/C(=C\C3=CC=NC=C3)/SC2=O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.16075,7.00347,11.4277,12.6918,17.6427,>,66,,,"0,0,0,0,0",6.8189,13.7036,6.60034,11.518,7.25602,,,,,,,,,,,,,,,
1072,26662627,607082,CC(=O)NC1=CC2=NC3=CC=CC=C3N=C2C=C1,Inactive,41,,,=,44.88,>,66,,,"0,0,0,0,0",47.2526,32.0626,20.3697,16.4356,6.05394,=,22.731,,1,"0,0,0,0,0",71.5765,57.9877,38.816,31.6529,20.2762,=,24.823,,1.616,"0,0,0,0,0,0,0,0,0,0",88.8378,73.1224,42.0261,27.0909,25.9764,14.7192,8.03185,15.8338,13.939,17.1713
1073,24789258,976372,CC1=C(C=CC=C1Cl)NC(=S)NC2=CC(=CC=C2)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",13.3238,12.5864,18.1694,14.3772,8.58356,>,66,,,"0,0,0,0,0",11.6272,7.03746,10.6437,7.9117,2.33841,,,,,,,,,,,,,,,
1074,17516762,4838792,C1COC2=C(O1)C=CC(=C2)SCC(=O)NCCC3=C(C=C(C=C3)Cl)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.31512,4.21038,2.11583,5.88603,5.46713,>,66,,,"0,0,0,0,0",11.5296,6.97535,10.9874,5.56571,7.08378,,,,,,,,,,,,,,,
1075,3716037,2517680,CC1=CC(=C(C=C1)C(=S)N)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",16.6947,20.3816,17.9587,20.1709,12.3758,>,66,,,"0,0,0,0,0",12.1736,9.44163,10.6437,7.69314,8.34882,,,,,,,,,,,,,,,
1076,24788673,1311679,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=S)NC(=O)C3=C(ON=C3C4=C(C=CC=C4Cl)F)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",18.0641,7.1088,12.0597,12.7971,12.4811,>,66,,,"0,0,0,0,0",9.76947,11.0808,9.5509,8.23954,9.33235,,,,,,,,,,,,,,,
1077,24804245,2206560,C1COCCN1C(=S)C2=CC(=C(C=C2)OCC(=O)NC3=CC=CC=C3Cl)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",11.8491,13.4292,19.1175,11.9544,15.852,>,66,,,"0,0,0,0,0",6.92818,11.8458,7.14674,5.50754,9.44163,,,,,,,,,,,,,,,
1078,24815303,4559429,C=CCN1C2=CC=CC=C2C(=C1O)N=NC(=S)NC3=CC=CC=C3F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.68889,17.7481,13.3238,17.7481,15.3253,>,66,,,"0,0,0,0,0",4.08689,8.34882,3.86833,7.80242,7.25602,,,,,,,,,,,,,,,
1079,14741574,4602970,C1CN(CC2=CC=CC=C21)C3=NC=C4C(=N3)CC(CC4=O)C5=CC=CC=C5,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.68601,6.79279,10.901,4.36998,9.95297,>,66,,,"0,0,0,0,0",-1.4864,-5.74834,-2.36064,-2.57921,-0.830724,,,,,,,,,,,,,,,
1080,17413927,2224292,CCCN(CCC)C(=S)NC(=O)C1=CC=C(C=C1)C2=CC=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.2127,5.2127,15.4306,13.8505,4.36998,>,66,,,"0,0,0,0,0",4.74258,7.9117,1.46417,4.63329,6.38178,,,,,,,,,,,,,,,
1081,7968544,4220055,CC1=NN=C(S1)N2C(C3=C(C2=O)OC4=CC=CC=C4C3=O)C5=CC=CO5,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",0.683108,4.15931,6.47677,7.95152,6.5821,>,66,,,"0,0,0,0,0",-1.04928,0.371366,-0.284323,4.30546,3.54049,,,,,,,,,,,,,,,
1082,47202246,884878,CC1=CC(=C(C=C1)O)NC(=S)NC(=O)/C=C/C2=CC=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",10.7957,17.6427,10.901,13.1131,16.168,>,66,,,"0,0,0,0,0",6.70962,9.76947,12.2829,11.7365,8.78595,,,,,,,,,,,,,,,
1083,24815377,4622015,C=CCN1C2=C(C=C(C=C2)S(=O)(=O)N3CCOCC3)C(=C1O)N=NC(=S)NC4=CC=CC=C4F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",9.95297,7.95152,11.7437,23.2257,17.6427,>,66,,,"0,0,0,0,0",4.41473,7.9117,9.87875,6.8189,11.518,,,,,,,,,,,,,,,
1084,24787345,936375,CC1=CC(=C(C=C1)C(=O)NC(=S)NC2=CC3=C(C=C2)NC(=O)N3)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.79423,14.1665,13.6398,13.7452,15.5359,>,66,,,"0,0,0,0,0",8.67667,5.07041,6.8189,6.2725,7.80242,,,,,,,,,,,,,,,
1085,14743434,4033942,CC(C)OC1=CC=C(C=C1)C(=O)NC2(C(=O)N3CCSC3=N2)C(F)(F)F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",17.5374,18.4855,19.0121,13.9559,16.0627,>,66,,,"0,0,0,0,0",10.3159,5.94466,6.60034,5.72609,5.50754,,,,,,,,,,,,,,,
1086,14739095,5228448,CCN(CC)S(=O)(=O)C1=CC=C(C=C1)C(=O)NCC2=CC3=C(C=C2)N(C(=C3)C)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-5.32123,-1.213,-0.686307,12.9025,9.74228,>,66,,,"0,0,0,0,0",-19.5176,-11.6495,-5.09265,2.11985,4.85186,,,,,,,,,,,,,,,
1087,24794106,612628,CC1=CC(=NC=N1)SC2=NC=NC(=C2[N+](=O)[O-])N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",0.0213,-1.54963,0.335471,-0.816521,-7.30964,>,66,,,"0,0,0,0,0",15.8669,10.1199,4.9151,7.08378,5.78258,,,,,,,,,,,,,,,
1088,49678242,2443264,C1=CC=C(C(=C1)C2=NN=C(O2)CN3C(=O)C4=C(C3=O)C(=CC=C4)N)Br,Inactive,41,,,=,48.1,>,66,,,"0,0,0,0,0",46.9359,26.5932,17.3272,12.1084,13.919,=,44.435,,1,"0,0,0,0,0",66.3755,44.2404,26.3461,8.24495,-2.61574,=,51.811,,1.066,"0,0,0,0,0,0,0,0,0,0",86.943,59.3018,39.574,25.3076,13.2703,11.3756,5.69126,5.35691,11.2641,5.69126
1089,4255876,1247591,COC(=O)NC1=NN=C(S1)C2=CC=NC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-2.47707,-1.31835,-0.0543,6.16075,8.16219,>,66,,,"0,0,0,0,0",0.371366,0.262079,4.41473,11.1901,4.63329,,,,,,,,,,,,,,,
1090,49823347,17578805,CN(C1CCS(=O)(=O)C1)C(=O)CCN2C(=O)/C(=C/C3=CC=CC=C3F)/SC2=S,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.89522,5.31803,6.37143,5.52871,-0.0543,>,66,,,"0,0,0,0,0",0.917767,3.75905,5.50754,2.99409,9.22307,,,,,,,,,,,,,,,
1091,3711189,2997536,C1=CC=C(C=C1)SC(CC(=O)C2=CC=CO2)C3=CC=CS3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",10.0583,12.5864,7.00347,13.3238,9.84763,>,66,,,"0,0,0,0,0",6.49106,7.25602,4.52401,6.05394,5.07041,,,,,,,,,,,,,,,
1092,24779585,135541117,C1/C(=N\N=C\2/NC(=O)C(S2)CC(=O)NCC(=O)O)/NC(=O)S1,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.89812,8.58356,9.42628,-53.2506,-1.95038,>,66,,,"0,0,0,0,0",6.2725,11.7365,5.61681,8.13026,4.08689,,,,,,,,,,,,,,,
1093,22415122,2928968,COC1=CC=C(C=C1)C(=O)NC(=S)NC2CCSC2=O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",13.3238,12.4811,6.68745,4.26464,2.36853,>,66,,,"0,0,0,0,0",9.11379,8.78595,2.33841,5.61681,2.55697,,,,,,,,,,,,,,,
1094,85149205,44144351,CC1=C(C(=NO1)C)C2=CSC(=N2)N3CCC(CC3)C(=O)N.C(=O)(C(F)(F)F)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",0.683108,9.74228,5.00201,7.31949,8.58356,>,66,,,"0,0,0,0,0",-0.175036,2.55697,2.01057,1.35488,2.66625,,,,,,,,,,,,,,,
1095,24805735,2894202,C1=CC(=CN=C1)NC(=S)NC(=O)C2=CC=CS2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",14.9039,8.26754,12.6918,11.1117,8.47821,>,66,,,"0,0,0,0,0",8.34882,7.80242,8.02099,5.50754,8.02099,,,,,,,,,,,,,,,
1096,51086818,3952315,C1=CC=C(C(=C1)NC(=O)CSC2=NN=C(O2)C3=CN=CC=C3)F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",13.4292,4.89668,5.7394,9.32093,9.11026,>,66,,,"0,0,0,0,0",4.52401,10.2066,8.4581,2.88481,3.32193,,,,,,,,,,,,,,,
1097,49679627,941679,CC1=CC2=C(C=C1)N(C3=NC(=S)NN=C23)CCC4=CC=CC=C4,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",1.7365,-1.31835,3.52727,7.42482,6.37143,>,66,,,"0,0,0,0,0",-1.26784,1.57345,3.86833,-4.54625,-4.10913,,,,,,,,,,,,,,,
1098,14724547,539959,CCOC1=CC=CC(=O)C2=C(OC(=C12)C)C,Inactive,41,,,=,41.6,=,9.989,,1,"0,0,0,0,0",95.7731,88.2327,63.4261,39.2751,20.2604,=,24.38,,1,"0,0,0,0,0",79.0556,54.8275,39.448,26.3859,10.269,>,66,,,"0,0,0,0,0,0,0,0,0,0",-16.7115,29.543,-54.1609,13.2703,31.1033,-122.595,13.8276,30.9919,-42.3465,2.7934
1099,22414218,4077727,CCOC1=CC(=C(C=C1)NC(=S)NC(=O)C2=C(C(=NN2C)C)Cl)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-0.686307,2.05252,-74.1078,-54.4094,-4.37318,>,66,,,"0,0,0,0,0",-3.12561,-2.14208,2.11985,-0.393601,0.262079,,,,,,,,,,,,,,,
1100,26664460,223293,COC1=CC2=C(C3=C(C=C(C=C3)Cl)N=C2C=C1)C#N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",58.6198,43.8722,47.0324,51.0353,34.0757,>,66,,,"0,0,0,0,0",22.446,30.8606,26.8172,33.2647,16.1077,>,66,,,"0,0,0,0,0,0,0,0,0,0",3.35068,-2.44505,-8.12934,-9.02099,-8.12934,22.8556,13.939,4.79962,-0.773202,4.79962
1101,26658302,2369866,CC1=C(C=C(C=C1)NC(=S)NC2=CC3=C(C=C2)NC(=O)N3)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.63549,8.16219,4.79134,2.68455,6.05541,>,66,,,"0,0,0,0,0",7.3653,3.10337,-2.57921,-6.40402,-8.26178,,,,,,,,,,,,,,,
1102,49665168,16401418,CCC(C)NC(=O)[C@@H]1C(SC2N1C(=O)C3=C2C=CC(=C3OC)OC)(C)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",15.4306,11.1117,11.7437,7.53017,7.42482,>,66,,,"0,0,0,0,0",2.66625,7.47459,7.14674,4.19618,5.07041,,,,,,,,,,,,,,,
1103,7971923,3573352,CC1=CC2=C(N1)C=CC(=C2)CNC(=O)C3=CC=C(O3)Br,Inactive,41,,,=,49.58,>,66,,,"0,0,0,0,0",27.8007,19.8233,11.6272,4.63329,4.63329,=,35.363,,1,"0,0,0,0,0",61.4639,44.9256,33.865,23.1204,16.5893,>,66,,,"0,0,0,0,0,0,0,0,0,0",75.463,53.0603,30.8804,16.9484,7.1402,16.5025,-0.550293,2.68194,0.675719,0.118436
1104,14736406,5400946,COC1=CC=C(C=C1)N/N=C\2/CCCCC2=O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",0.367087,7.53017,6.79279,1.31513,15.2199,>,66,,,"0,0,0,0,0",0.371366,3.10337,-0.175036,4.96113,6.16322,,,,,,,,,,,,,,,
1105,89855693,3736607,C1=C(C=C(C2=C1C(=C(N2)O)N=NC(=S)N)Cl)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",12.3758,12.1651,11.7437,15.0093,18.4855,>,66,,,"0,0,0,0,0",9.22307,12.0643,9.44163,7.14674,6.49106,,,,,,,,,,,,,,,
1106,17510461,232704,CC1=C2C=CC=C3C2=C(C=C1)C(=O)C4=CC=CC=C43,Inactive,41,,,=,51.15,>,66,,,"0,0,0,0,0",25.178,18.4026,11.6272,4.85186,5.50754,=,33.178,,1,"0,0,0,0,0",61.4639,45.4523,34.813,27.966,17.116,=,39.448,,1.286,"0,0,0,0,0,0,0,0,0,0",56.8498,40.8001,16.614,13.8276,4.01941,-3.00233,6.24854,-0.996129,3.12778,-5.90021
1107,849130,651601,CC1=CC=C(C=C1)S(=O)(=O)C2=C(OC(=N2)C3=CC(=C(C(=C3)OC)OC)OC)N4CCOCC4,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.57922,2.47387,5.63405,3.10592,-1.7397,>,66,,,"0,0,0,0,0",3.54049,-5.63905,0.1528,3.21265,3.54049,,,,,,,,,,,,,,,
1108,89854452,262134,C1CC2CC1CCN(C2)CCC(=O)C3=CC=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.89812,7.1088,1.42048,7.53017,5.42338,>,66,,,"0,0,0,0,0",2.22913,5.83538,1.79201,-3.45344,-2.25136,,,,,,,,,,,,,,,
1109,24781394,3433616,C1=CC(=CC=C1C2C(C(=S)NC(=C2C#N)N)C(=O)N)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",13.7452,9.21559,16.6947,10.6904,11.5331,>,66,,,"0,0,0,0,0",7.03746,7.69314,8.4581,8.02099,6.60034,,,,,,,,,,,,,,,
1110,26663498,4527934,CC1(CC2=C(CO1)C(=S)NC(N2CC3CCCO3)C4=CC=CC=C4)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.16219,5.84473,5.52871,8.89958,14.3772,>,66,,,"0,0,0,0,0",0.699202,12.72,8.67667,9.33235,3.10337,,,,,,,,,,,,,,,
1111,99361058,329023,C1=CC=C(C=C1)C(=O)NC(C(=O)O)SC2=CC=C(C=C2)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",10.585,3.63261,13.2185,10.585,7.42482,>,66,,,"0,0,0,0,0",-0.284323,10.0973,9.76947,6.05394,6.49106,,,,,,,,,,,,,,,
1112,99361002,327585,CC1=NN(C(=O)C1C(=S)SC2CC(=O)NC2=O)C3=CC=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",21.435,25.4379,20.9083,15.852,9.53161,>,66,,,"0,0,0,0,0",20.1511,21.5717,18.949,11.6272,9.66019,,,,,,,,,,,,,,,
1113,99361056,3950088,C1=CC=C2C(=C1)C(=O)NN(C(=S)N2)CCO,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",10.4797,13.8505,12.7971,10.269,10.269,>,66,,,"0,0,0,0,0",1.2456,6.38178,6.49106,8.13026,1.90128,,,,,,,,,,,,,,,
1114,49665820,286497,C1=CC=NC(=C1)C2=NNC(=NN2)C3=CC=CC=N3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",1.42048,4.79134,7.21414,2.47387,0.367087,>,66,,,"0,0,0,0,0",3.86833,2.88481,-3.67201,-0.50288,4.63329,,,,,,,,,,,,,,,
1115,14722107,3155136,COC1=C(C=C(C=C1)CC2=NN=C(S2)NC(=O)C3CCCO3)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",0.156411,3.21125,5.2127,6.68745,2.7899,>,66,,,"0,0,0,0,0",1.57345,3.10337,3.97761,6.49106,1.90128,,,,,,,,,,,,,,,
1116,26671107,135613209,C1=CC=[N+](C=C1)C2=C(SC(=O)N2)/C=N/NC(=O)C3=CC=CC=C3[O-],Inactive,41,,,=,35.2,=,41.156,,1,"0,0,0,0,0",93.2764,66.6255,46.295,27.7553,13.4292,=,17.289,,1,"0,0,0,0,0",67.0323,45.067,23.4295,14.9056,7.69314,=,47.176,,0.889,"0,0,0,0,0,0,0,0,0,0",109.457,76.5776,53.729,36.5647,24.0816,-1.10757,7.58603,5.24544,6.36001,-0.884665
1117,22402178,745474,C1=C2C(=CC(=C1F)F)NC(=C2N=NC(=S)N)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.42338,12.6918,18.9068,11.9544,9.95297,>,66,,,"0,0,0,0,0",1.68273,13.5943,15.2335,9.44163,9.5509,,,,,,,,,,,,,,,
1118,24839699,2999094,CC1=CC(=C(N1C(C)COC)C)C(=O)CSC2=NC3=C(C(=C(S3)C)C)C(=O)N2CC=C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-3.21746,2.42112,4.37293,7.62596,1.66208,>,66,,,"0,0,0,0,0",-14.6406,-6.786,-0.188166,-1.96853,4.94349,,,,,,,,,,,,,,,
1119,22404065,1048276,C1COC2=C(O1)C=CC(=C2)NC(=S)NC(=O)C3=CC(=CC=C3)Br,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",14.0548,15.5209,16.673,20.2337,12.1697,>,66,,,"0,0,0,0,0",10.3368,6.75849,11.638,12.5055,7.19222,,,,,,,,,,,,,,,
1120,24808216,1072882,C1COCCN1C(=S)NC2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CC=N4)C5=CC=CC=N5,Inactive,41,,,=,40.3,>,66,,,"0,0,0,0,0",17.6019,12.2886,7.08378,8.7103,2.96329,=,57.319,,1,"0,0,0,0,0",50.6046,34.2672,23.6897,15.9399,17.0919,=,23.348,,4.281,"0,0,0,0,0,0,0,0,0,0",36.9613,32.8632,19.4904,13.3433,14.4217,19.2748,10.3236,16.1473,18.1963,14.0982
1121,14721667,1442863,CC(C)C1=NC2=CC=CC=C2C(=N1)SCC(=O)NC3=CC=C(C=C3)N4CCOCC4,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",15.1021,16.4635,20.5479,17.6155,12.4839,>,66,,,"0,0,0,0,0",7.19222,7.40909,9.14404,9.79464,5.13197,,,,,,,,,,,,,,,
1122,17516102,2122677,CC(=O)NC1=CC=C(C=C1)SCC(=O)NC2=CC=CC=C2OC3=CC=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",11.646,6.40967,12.4839,23.7944,13.5311,>,66,,,"0,0,0,0,0",12.1802,10.3368,13.4814,14.9995,16.3007,,,,,,,,,,,,,,,
1123,17409657,6412115,COC1=CC=C(C=C1)SC2=NN=C(C3=CC=CC=C32)CC4=CC=CC=C4,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",16.5682,20.6526,17.7202,24.3181,15.9399,>,66,,,"0,0,0,0,0",9.90307,6.75849,19.5537,8.16813,10.9874,,,,,,,,,,,,,,,
1124,24779457,2294285,COC1=C(C=CC(=C1Cl)Cl)S(=O)(=O)NCCCN2CCOCC2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",17.1966,15.5209,12.2744,19.1864,14.0548,>,66,,,"0,0,0,0,0",2.20425,18.4694,11.5296,9.68621,9.3609,,,,,,,,,,,,,,,
1125,846800,649193,COC1=CC2=CC(=C(N=C2C=C1)N3CCCCC3)C#N,Active,55,,,=,18.5,=,22.539,,1,"0,0,0,0,0",114.593,87.5734,70.3981,42.2264,31.2301,=,7.487,,1,"0,0,0,0,0",79.8431,58.6984,38.4213,28.0116,14.4573,=,18.822,,1.223,"0,0,0,0,0,0,0,0,0,0",114.394,91.8543,62.8441,31.6769,17.9806,0.0784,3.85295,-2.40206,-6.50016,-4.45112
1126,14721710,3155199,CC1=CC=C(C=C1)CN(CC(=O)NC2CCCC2)C(=O)CSC3=NN=C(O3)COC4=CC=CC=C4,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",13.4264,11.646,9.65622,15.4162,13.1122,>,66,,,"0,0,0,0,0",9.90307,8.27656,8.05969,5.78258,5.67415,,,,,,,,,,,,,,,
